ID,Sexo,Idoso,Casado,Dependentes,TempoContrato,Telefone,LinhasMultiplas,Internet,AntiVirus,Backup,Seguro,Suporte,TV,Filmes,TipoContrato,ContaDigital,MetodoPagto,CustoMensal,CustoTotal,ClasseTempoContrato,Churn,ChurnProb
3793-MMFUH,Feminino,True,False,False,13,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,95.05,1290.0,Classe_12_24,True,0.886126931702876
4587-VVTOX,Feminino,False,True,False,6,True,True,Fibra,False,True,True,False,True,True,Mensal,True,Conta Eletronica,105.3,545.2,Classe_00_12,True,0.8861161972535886
1941-HOSAM,Masculino,False,True,True,1,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,90.1,90.1,Classe_00_12,True,0.8859868620385843
4750-ZRXIU,Feminino,True,False,False,4,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,84.6,360.1,Classe_00_12,True,0.8840410155648145
4713-LZDRV,Feminino,True,False,False,2,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,79.6,195.05,Classe_00_12,True,0.8836432978320764
6567-HOOPW,Feminino,True,False,False,1,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,79.2,79.2,Classe_00_12,True,0.883024514869461
8603-IJWDN,Masculino,False,False,False,1,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,86.6,86.6,Classe_00_12,True,0.8830053016018414
4912-PIGUY,Feminino,False,False,False,1,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,84.6,84.6,Classe_00_12,True,0.882364256404281
0702-PGIBZ,Masculino,False,False,True,4,True,True,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,101.7,364.55,Classe_00_12,True,0.8794454942433121
4614-NUVZD,Feminino,False,False,False,1,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,81.1,81.1,Classe_00_12,True,0.8787708798748434
2865-TCHJW,Feminino,True,False,False,4,True,True,Fibra,False,False,True,False,True,False,Mensal,True,Conta Eletronica,89.2,346.2,Classe_00_12,True,0.8787242682644121
6630-UJZMY,Feminino,True,True,False,4,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,83.25,308.05,Classe_00_12,True,0.8759692628163787
6457-USBER,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,80.8,80.8,Classe_00_12,True,0.8757904631083784
8058-INTPH,Feminino,False,False,False,1,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,79.65,79.65,Classe_00_12,True,0.8751270174820349
4140-MUHUG,Feminino,True,False,False,3,True,False,Fibra,False,False,True,False,True,False,Mensal,True,Conta Eletronica,86.85,220.95,Classe_00_12,True,0.8742968622711748
9025-AOMKI,Feminino,False,False,False,6,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Debito Automatico,93.55,536.4,Classe_00_12,True,0.8726015120884046
1761-AEZZR,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,79.55,79.55,Classe_00_12,True,0.8720728299656365
1981-INRFU,Feminino,False,False,False,2,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,79.75,164.5,Classe_00_12,True,0.8716509135399013
9402-ORRAH,Feminino,True,False,False,15,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,91.5,1400.3,Classe_12_24,True,0.8714899905046797
4529-CKBCL,Feminino,False,False,False,2,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,80.2,146.05,Classe_00_12,True,0.8713942572463702
2202-CUYXZ,Masculino,False,False,False,1,True,False,Fibra,False,False,True,False,True,False,Mensal,True,Conta Eletronica,84.85,84.85,Classe_00_12,True,0.8704027512253943
1624-NALOJ,Masculino,True,False,False,5,True,True,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,89.8,502.6,Classe_00_12,True,0.8703717490058713
2027-FECZV,Masculino,False,False,False,12,True,True,Fibra,False,True,True,False,True,True,Mensal,True,Conta Eletronica,106.7,1253.9,Classe_00_12,True,0.8695071366887662
2789-HQBOU,Masculino,False,False,False,3,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,80.35,253.8,Classe_00_12,True,0.8688345746356501
8739-XNIKG,Feminino,False,False,False,5,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,84.0,424.75,Classe_00_12,True,0.8686823443780085
0236-HFWSV,Masculino,False,False,False,15,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,93.35,1444.65,Classe_12_24,True,0.8681857945986468
4210-QFJMF,Feminino,False,False,False,4,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,79.15,317.25,Classe_00_12,True,0.8680980401942253
1678-FYZOW,Feminino,False,False,False,3,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,79.4,244.65,Classe_00_12,True,0.8680257532027016
1658-BYGOY,Masculino,True,False,False,18,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,95.45,1752.55,Classe_12_24,True,0.8666551721478521
4806-KEXQR,Masculino,False,False,False,4,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,79.9,324.3,Classe_00_12,True,0.8650022385416294
9837-BMCLM,Masculino,False,False,False,3,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,78.5,242.05,Classe_00_12,True,0.8647883952779593
7225-CBZPL,Masculino,True,True,False,17,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,94.8,1563.9,Classe_12_24,True,0.864576706870648
6615-NGGZJ,Masculino,False,False,False,14,True,True,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,100.55,1415.55,Classe_12_24,True,0.8639250557085745
9965-YOKZB,Masculino,True,False,False,9,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,83.85,790.15,Classe_00_12,True,0.8637928522987695
6986-IXNDM,Masculino,False,False,False,14,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,92.9,1337.45,Classe_12_24,True,0.8636976618380473
6328-ZPBGN,Feminino,True,False,False,11,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Debito Automatico,95.15,997.65,Classe_00_12,True,0.8636502664141161
4060-LDNLU,Masculino,False,False,False,7,True,True,Fibra,False,False,False,False,True,True,Mensal,False,Conta Eletronica,96.2,639.7,Classe_00_12,True,0.8636250242114336
0680-DFNNY,Masculino,False,True,False,15,True,True,Fibra,False,False,True,False,True,True,Mensal,True,Conta Eletronica,101.1,1504.05,Classe_12_24,True,0.8630004067413913
6857-VWJDT,Feminino,False,False,False,1,True,True,Fibra,False,False,False,False,True,True,Mensal,False,Conta Papel,95.65,95.65,Classe_00_12,True,0.8620254144732438
6734-GMPVK,Masculino,False,False,False,5,True,True,Fibra,False,True,True,False,True,True,Mensal,False,Conta Eletronica,105.3,550.6,Classe_00_12,True,0.8615204954537931
0011-IGKFF,Masculino,True,True,False,13,True,False,Fibra,False,True,True,False,True,True,Mensal,True,Conta Eletronica,98.0,1237.85,Classe_12_24,True,0.8609585414204024
9124-LHCJQ,Feminino,False,False,False,1,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Papel,85.45,85.45,Classe_00_12,True,0.8609575877634672
2123-AGEEN,Feminino,True,False,False,7,True,False,Fibra,False,False,True,False,True,False,Mensal,True,Conta Eletronica,84.35,609.65,Classe_00_12,True,0.8605511087244869
8242-SOQUO,Feminino,True,False,False,5,True,False,Fibra,False,True,False,False,True,False,Mensal,True,Conta Eletronica,84.7,392.5,Classe_00_12,True,0.8602423163168531
8382-SHQEH,Feminino,False,True,False,8,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,84.9,764.95,Classe_00_12,True,0.8584979084286163
5229-PRWKT,Masculino,False,False,False,8,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,86.55,649.65,Classe_00_12,True,0.8578207456705541
6583-KQJLK,Feminino,True,True,False,15,True,False,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,94.65,1285.05,Classe_12_24,True,0.8567279600530636
8622-ZLFKO,Feminino,False,True,False,6,True,True,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,90.75,512.25,Classe_00_12,True,0.8557384127430093
9248-OJYKK,Masculino,True,False,False,1,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,76.45,76.45,Classe_00_12,True,0.8554422114307824
4952-YSOGZ,Feminino,False,True,True,4,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,85.95,381.3,Classe_00_12,True,0.8548079163202298
8337-UPOAQ,Masculino,True,True,False,10,True,True,Fibra,False,False,True,False,False,True,Mensal,True,Conta Eletronica,89.8,914.3,Classe_00_12,True,0.8542893419323537
5868-YWPDW,Masculino,True,True,False,6,True,False,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,84.2,519.15,Classe_00_12,True,0.8532839712344099
0684-AOSIH,Masculino,False,True,False,1,True,False,Fibra,True,False,False,False,True,True,Mensal,True,Conta Eletronica,95.0,95.0,Classe_00_12,True,0.852495955554876
3096-GKWEB,Masculino,False,True,False,18,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,94.75,1691.9,Classe_12_24,True,0.8523793932766497
6326-MTTXK,Masculino,False,False,False,8,True,True,Fibra,False,True,False,False,True,True,Mensal,False,Conta Eletronica,100.85,819.55,Classe_00_12,True,0.8520790282569353
1564-NTYXF,Feminino,True,False,False,13,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,82.0,1127.2,Classe_12_24,True,0.8517969569942184
5644-PDMZC,Feminino,True,False,False,2,True,True,Fibra,False,True,False,False,False,True,Mensal,False,Conta Eletronica,89.5,161.5,Classe_00_12,True,0.8507317148757056
0880-TKATG,Masculino,False,True,True,4,True,True,Fibra,False,False,True,False,True,True,Mensal,False,Conta Eletronica,101.15,385.9,Classe_00_12,True,0.8504174567094225
9605-WGJVW,Feminino,True,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.2,70.2,Classe_00_12,True,0.850367373341856
1846-XWOQN,Feminino,True,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.15,70.15,Classe_00_12,True,0.8503665829288511
8000-REIQB,Feminino,True,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.95,69.95,Classe_00_12,True,0.8503634212424259
2691-NZETQ,Masculino,False,False,False,9,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,85.35,758.6,Classe_00_12,True,0.8500857958222521
2737-WFVYW,Feminino,False,False,False,2,False,Sem Telefone,DSL,False,False,False,False,True,True,Mensal,True,Conta Eletronica,45.25,85.5,Classe_00_12,True,0.8496129170363368
2609-IAICY,Feminino,False,False,False,1,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,77.15,77.15,Classe_00_12,True,0.8495788004554898
4884-ZTHVF,Feminino,True,False,False,8,True,False,Fibra,False,True,False,False,True,False,Mensal,True,Conta Eletronica,87.1,713.6,Classe_00_12,True,0.8495737448986317
9897-KXHCM,Feminino,False,True,True,3,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,80.3,250.05,Classe_00_12,True,0.8495615356523947
8816-VXNZD,Feminino,False,False,False,1,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,75.1,75.1,Classe_00_12,True,0.8495462501191469
7005-CCBKV,Masculino,False,False,False,6,True,False,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,84.4,556.35,Classe_00_12,True,0.8490605254891782
5445-UTODQ,Feminino,False,True,False,7,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,81.1,576.65,Classe_00_12,True,0.848198287300046
8258-GSTJK,Masculino,True,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,77.0,237.75,Classe_00_12,True,0.8473572467252879
7576-OYWBN,Masculino,True,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,76.05,231.8,Classe_00_12,True,0.8472616107145958
7120-RFMVS,Masculino,False,False,False,1,True,True,Fibra,False,False,False,False,True,False,Mensal,False,Conta Eletronica,84.5,84.5,Classe_00_12,True,0.8471277067680963
8644-XLFBW,Masculino,True,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,71.65,71.65,Classe_00_12,True,0.8468385875134965
9603-OAIHC,Masculino,True,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.05,70.05,Classe_00_12,True,0.8468128035210437
5288-AHOUP,Masculino,True,False,False,11,True,False,Fibra,False,False,False,False,False,True,Mensal,True,Conta Eletronica,78.5,874.2,Classe_00_12,True,0.8463579287776628
4285-GYRQC,Feminino,False,True,False,7,True,False,Fibra,False,False,True,False,True,False,Mensal,True,Conta Eletronica,86.25,587.1,Classe_00_12,True,0.8463546907366865
4342-HENTK,Feminino,True,False,False,2,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.65,142.35,Classe_00_12,True,0.8461177436568718
5883-GTGVD,Masculino,False,False,False,19,True,True,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,99.95,1931.75,Classe_12_24,True,0.8458635932441333
2506-TNFCO,Feminino,True,True,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.55,69.55,Classe_00_12,True,0.8456647164789582
2081-VEYEH,Masculino,False,False,False,3,True,False,Fibra,False,True,True,True,True,True,Mensal,True,Conta Eletronica,107.95,318.6,Classe_00_12,True,0.8451289949114019
8348-HFYIV,Masculino,False,False,False,2,False,Sem Telefone,DSL,False,False,True,False,True,True,Mensal,True,Conta Eletronica,49.25,90.35,Classe_00_12,True,0.8440896269903363
8943-URTMR,Feminino,False,False,False,2,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Conta Papel,79.65,152.7,Classe_00_12,True,0.8440568118114982
3045-XETSH,Feminino,False,False,False,10,True,True,Fibra,False,True,True,False,False,True,Mensal,True,Conta Eletronica,94.85,953.45,Classe_00_12,True,0.8439741405465531
6015-VVHHE,Feminino,True,False,False,5,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Credito Automatico,83.15,446.05,Classe_00_12,True,0.8429269945968942
1285-OKIPP,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,False,True,Mensal,False,Conta Eletronica,79.9,79.9,Classe_00_12,True,0.8426317958818433
9189-JWSHV,Feminino,True,True,False,24,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,93.55,2264.05,Classe_12_24,True,0.8421907072603828
1363-TXLSL,Masculino,True,True,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.3,70.3,Classe_00_12,True,0.8420340607068055
0637-KVDLV,Masculino,False,False,False,2,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,76.5,162.45,Classe_00_12,True,0.841878609868137
2472-OVKUP,Masculino,False,True,False,6,True,False,Fibra,False,True,True,False,False,True,Mensal,True,Conta Eletronica,91.0,531.0,Classe_00_12,True,0.8418619075316303
0432-CAJZV,Masculino,False,False,False,3,True,False,Fibra,False,False,False,False,True,True,Mensal,False,Conta Papel,90.7,237.65,Classe_00_12,True,0.8416994570909714
2055-PDADH,Feminino,True,False,False,3,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.4,204.7,Classe_00_12,True,0.8416076469115842
1320-HTRDR,Feminino,False,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,75.5,220.6,Classe_00_12,True,0.8409303472515841
4090-KPJIP,Feminino,False,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.95,212.4,Classe_00_12,True,0.8407940264039907
7249-WBIYX,Masculino,False,True,False,10,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,85.6,813.85,Classe_00_12,True,0.8407408840993114
6653-CBBOM,Feminino,False,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.3,70.3,Classe_00_12,True,0.8406570808709652
3244-DCJWY,Feminino,False,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.25,70.25,Classe_00_12,True,0.8406562487761673
1977-STDKI,Feminino,True,False,False,1,True,False,Fibra,False,True,False,False,False,False,Mensal,True,Conta Eletronica,73.0,73.0,Classe_00_12,True,0.840605223363666
0480-BIXDE,Feminino,False,True,False,19,True,False,Fibra,False,False,True,False,True,True,Mensal,True,Conta Eletronica,96.8,1743.05,Classe_12_24,True,0.8405786081899224
6407-UTSLV,Feminino,True,False,False,2,True,False,Fibra,False,True,False,False,True,False,Mensal,True,Debito Automatico,83.8,163.7,Classe_00_12,True,0.8404186622637124
0404-SWRVG,Masculino,False,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.4,229.55,Classe_00_12,True,0.8373485535154662
5835-BEQEU,Masculino,False,False,False,3,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,76.95,228.4,Classe_00_12,True,0.8373290939465342
7254-IQWOZ,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.65,69.65,Classe_00_12,True,0.8369075996687663
6502-MJQAE,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.6,69.6,Classe_00_12,True,0.8369067517926763
6457-GIRWB,Masculino,False,False,False,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.35,69.35,Classe_00_12,True,0.836902512358992
5956-VKDTT,Feminino,True,True,False,5,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.35,334.8,Classe_00_12,True,0.8366296204964189
4749-OJKQU,Feminino,False,False,False,4,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,75.65,302.35,Classe_00_12,True,0.8366273270871537
5429-LWCMV,Feminino,False,False,False,12,True,True,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,89.15,1057.55,Classe_00_12,True,0.8365285774652826
3721-CNEYS,Feminino,False,False,False,2,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.95,137.95,Classe_00_12,True,0.8361082054167795
3329-WDIOK,Feminino,False,False,False,3,False,Sem Telefone,DSL,False,True,False,False,True,True,Mensal,True,Conta Eletronica,50.6,155.35,Classe_00_12,True,0.8352322601886777
3874-EQOEP,Masculino,False,False,False,7,True,True,Fibra,False,False,False,False,True,True,Mensal,False,Conta Papel,95.0,655.5,Classe_00_12,True,0.8351054961157317
9360-OMDZZ,Masculino,False,False,False,24,True,True,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,94.1,2322.85,Classe_12_24,True,0.8342860304628935
8017-LXHFA,Feminino,True,False,False,23,True,False,Fibra,False,True,False,False,True,True,Mensal,True,Conta Eletronica,94.75,2293.6,Classe_12_24,True,0.8340016411342214
3292-PBZEJ,Masculino,True,False,False,11,True,True,Fibra,False,True,True,True,True,True,Mensal,True,Conta Eletronica,111.4,1183.05,Classe_00_12,True,0.8334343010542585
6507-ZJSUR,Masculino,True,True,False,23,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,90.45,2117.25,Classe_12_24,True,0.8324911825818346
5318-IXUZF,Feminino,False,False,False,2,True,False,Fibra,False,True,False,False,True,False,Mensal,True,Debito Automatico,87.15,183.75,Classe_00_12,True,0.8305407976232987
5196-SGOAK,Feminino,False,False,False,1,True,False,Fibra,False,True,False,False,False,False,Mensal,True,Conta Eletronica,75.7,75.7,Classe_00_12,True,0.8304332715212274
3765-JXVKY,Feminino,False,False,False,1,True,False,Fibra,False,True,False,False,False,False,Mensal,True,Conta Eletronica,74.7,74.7,Classe_00_12,True,0.8304157765412512
6110-OHIHY,Masculino,False,False,False,3,True,False,Fibra,False,False,False,False,True,False,Mensal,False,Conta Eletronica,79.25,267.6,Classe_00_12,True,0.8297299782890439
3372-KWFBM,Masculino,True,False,False,16,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,86.6,1281.0,Classe_12_24,True,0.8293036862150341
2982-IHMFT,Feminino,True,False,False,1,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Papel,74.45,74.45,Classe_00_12,True,0.8291899643649693
7044-YAACC,Masculino,True,True,False,4,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,70.2,280.35,Classe_00_12,True,0.8282965377716998
6712-OAWRH,Feminino,True,False,False,26,True,False,Fibra,False,False,False,False,True,True,Mensal,True,Conta Eletronica,91.25,2351.8,Classe_24_48,True,0.8278760268362582
7341-LXCAF,Masculino,False,True,False,4,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.65,301.4,Classe_00_12,True,0.8276652602177362
7517-LDMPS,Feminino,False,False,False,12,True,False,Fibra,False,True,False,False,False,True,Mensal,True,Conta Eletronica,84.6,1017.35,Classe_00_12,True,0.8263968381129065
7029-RPUAV,Masculino,True,True,False,17,True,True,Fibra,False,False,True,False,True,True,Mensal,True,Credito Automatico,100.45,1622.45,Classe_12_24,True,0.8262608556006447
8945-GRKHX,Feminino,False,False,True,1,True,False,Fibra,False,False,False,False,False,True,Mensal,False,Conta Eletronica,78.65,78.65,Classe_00_12,True,0.8256540328869546
8372-JUXUI,Masculino,False,False,True,1,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.35,74.35,Classe_00_12,True,0.8253474351934551
6833-JMZYP,Feminino,False,False,False,15,True,False,Fibra,False,False,True,False,True,True,Mensal,True,Credito Automatico,94.0,1505.45,Classe_12_24,True,0.8250776528778063
2516-VQRRV,Feminino,True,False,False,2,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Papel,75.45,158.4,Classe_00_12,True,0.8246751042602064
7508-MYBOG,Masculino,False,True,False,14,True,True,Fibra,False,False,False,False,True,False,Mensal,True,Conta Eletronica,86.1,1235.55,Classe_12_24,True,0.824657758381275
4229-CZMLL,Masculino,False,False,False,6,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.9,469.8,Classe_00_12,True,0.8238342562366007
0122-OAHPZ,Feminino,False,False,False,7,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,73.85,511.25,Classe_00_12,True,0.8224978560111481
8808-ELEHO,Masculino,True,False,False,8,True,True,Fibra,False,False,True,False,False,False,Mensal,True,Conta Eletronica,81.25,585.95,Classe_00_12,True,0.8222760224026188
9095-HFAFX,Feminino,False,False,False,5,True,False,Fibra,False,False,False,False,True,False,Mensal,True,Credito Automatico,81.0,389.6,Classe_00_12,True,0.8222196624198189
4770-UEZOX,Masculino,False,False,False,2,True,False,Fibra,False,True,False,False,False,False,Mensal,True,Conta Eletronica,74.75,144.8,Classe_00_12,True,0.8216636683911674
8132-YPVBX,Feminino,False,False,False,6,True,False,Fibra,False,True,False,False,False,True,Mensal,True,Conta Papel,85.95,514.6,Classe_00_12,True,0.8211665733448107
9734-YWGEX,Feminino,False,False,False,9,True,True,Fibra,False,False,True,False,True,True,Mensal,False,Credito Automatico,98.3,923.5,Classe_00_12,True,0.8209690743494229
2636-OHFMN,Masculino,False,True,False,4,False,Sem Telefone,DSL,False,True,False,False,True,True,Mensal,True,Conta Eletronica,48.55,201.0,Classe_00_12,True,0.8209518158340308
2135-DQWAQ,Feminino,False,False,False,5,True,False,Fibra,False,True,False,False,True,False,Mensal,True,Conta Papel,85.3,420.45,Classe_00_12,True,0.8206802025323876
6860-YRJZP,Masculino,True,False,False,9,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,74.05,678.45,Classe_00_12,True,0.8200821187800661
4021-RQSNY,Masculino,True,True,False,29,True,True,Fibra,False,False,True,False,True,True,Mensal,True,Conta Eletronica,98.5,3004.15,Classe_24_48,True,0.8195766967258696
4550-EVXNY,Feminino,False,False,True,1,True,False,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,69.65,69.65,Classe_00_12,True,0.819467581691213
7994-UYIVZ,Masculino,False,True,False,8,True,True,Fibra,False,False,False,False,False,True,Mensal,True,Debito Automatico,85.65,659.45,Classe_00_12,True,0.818860778735579
8541-QVFKM,Feminino,False,False,False,8,True,True,Fibra,False,False,False,False,False,False,Mensal,True,Conta Eletronica,73.5,632.2,Classe_00_12,True,0.8185287680965134
